problem,run,gen,bmem_count,boundary_count,bmem_ref_coverage,finite_gap_count,inf_gap_count,median_gap,max_gap,train_count,query_count,condition_dim,train_param_ratio,gan_sample_reuse,train_pair_dec_dist50,train_pair_dec_dist90,train_tau_iqr,missing_ref_query_count,large_gap_query_count,raw_generated_count,feasible_generated_count,generated_per_train,boundary_dist50,boundary_dist90,query_width90,segment_width90,segment_width90_ratio,side_rate,pair_margin50,ref_cover,query_obj_dist50,query_obj_dist90,feasible_rate
DASCMOP2_BC,2,395,44,1,0.44,44,0,0.00169501109900209,0.00592189514600131,44,20,3,0.00230330314610271,72.7272727272727,0.735990549233971,1.02601927986587,0,2,18,20,2,0.454545454545455,0.0876515574011728,0.113396393103004,0,0.127621435786439,50.8350087321633,0.6,0.011903551367718,0.0909090909090909,0.0907827041844874,0.127779430408709,0.1
DASCMOP2_BC,2,396,43,1,0.43,43,0,0.00165705524272221,0.00550008246179836,43,20,3,0.00225095534732764,74.4186046511628,0.763655783442408,0.990810420903049,0,4,16,20,3,0.465116279069767,0.12549557626955,0.162916614117673,0,0.178025123966905,64.816356486277,0.55,0.0278540501700361,0.13953488372093,0.134190311448076,0.178366395187204,0.15
DASCMOP2_BC,2,397,43,1,0.43,43,0,0.00147129827390937,0.00686584350674927,43,20,3,0.00225095534732764,74.4186046511628,0.753215484668224,1.05258903067661,0,4,16,20,0,0.465116279069767,0.154330314309378,0.238000802182878,0,0.251655770849907,93.2581064281727,0.55,0.00367265490066992,0,0.16546779197012,0.252089920649792,0
DASCMOP2_BC,2,398,43,1,0.43,43,0,0.00146003092145953,0.00666086949673976,43,20,3,0.00225095534732764,74.4186046511628,0.762002539536089,1.02645207643847,0,4,16,20,2,0.465116279069767,0.210134761719724,0.280814208993919,0,0.290947134032542,105.765020088587,0.45,-0.0098238048426269,0.0930232558139535,0.219583886300595,0.291806910495177,0.1
DASCMOP2_BC,2,399,45,1,0.45,45,0,0.00160243174528517,0.00630047991051032,45,20,3,0.00235565094487777,71.1111111111111,0.764410430642434,0.956778689633416,0,4,16,20,2,0.444444444444444,0.112841439395393,0.210714469394842,0,0.211360244412349,77.7161027377075,0.45,-0.0170045623945171,0.0888888888888889,0.116278787970436,0.214074012778628,0.1
DASCMOP2_BC,2,400,44,1,0.44,44,0,0.00155165140908136,0.00679139191645172,44,20,3,0.00230330314610271,72.7272727272727,0.770495544494993,0.963659468999401,0,6,14,20,9,0.454545454545455,0.0298452284523233,0.142711727544049,0,0.144738057900896,53.5457787926932,0.5,-0.0154405921496515,0.227272727272727,0.0318227000082306,0.144926047981926,0.45
DASCMOP2_BC,2,401,44,1,0.44,44,0,0.00142320985576672,0.00564835111540254,44,20,3,0.00230330314610271,72.7272727272727,0.763206485089261,1.02601927986587,0,3,17,20,6,0.454545454545455,0.057954549015335,0.0884703283268612,0,0.101626446111596,38.5024973255184,0.65,0.0313229235510307,0.272727272727273,0.0624780858927338,0.101710736976065,0.3
DASCMOP2_BC,2,402,43,1,0.43,43,0,0.00138624274088059,0.00723154526996259,43,20,3,0.00225095534732764,74.4186046511628,0.764410430642434,1.02645207643847,0,3,17,20,7,0.465116279069767,0.0561960861824624,0.0943367844159889,0,0.101029773499333,36.7263147624171,0.65,0.0522333114243967,0.325581395348837,0.05888220453189,0.103665817415971,0.35
DASCMOP2_BC,2,403,43,1,0.43,43,0,0.00113192758015962,0.00583992055214001,43,20,3,0.00225095534732764,74.4186046511628,0.769631858325384,1.02645207643847,0,4,16,20,4,0.465116279069767,0.0861814658704195,0.107724657343968,0,0.119663553182674,43.9996888675081,0.6,0.0269228750710669,0.116279069767442,0.0887974999997511,0.11996077806401,0.2
DASCMOP2_BC,2,404,44,1,0.44,44,0,0.00187473605990762,0.0070441376546074,44,20,3,0.00230330314610271,72.7272727272727,0.764033107042421,0.986463413104272,0,3,17,20,3,0.454545454545455,0.0894232151536167,0.123356447807192,0,0.136135450612067,51.5766813034434,0.7,0.07396264642037,0.136363636363636,0.0913316210997422,0.136590532019331,0.15
DASCMOP2_BC,2,405,44,1,0.44,44,0,0.00122080595906994,0.00554731475410319,44,20,3,0.00230330314610271,72.7272727272727,0.764033107042421,1.0228008505516,0,3,17,20,9,0.454545454545455,0.0465629611067189,0.0667003715335401,0,0.0669696115954467,24.8075332157163,0.5,-0.00312236326948545,0.409090909090909,0.0486756761108987,0.0671193200349686,0.45
