problem,run,seed,FE,DE20IGD,CGANIGD,deltaDE20MinusCGAN
LIRCMOP14_BC,1,1,10000,0.309217260856718,0.325846068465435,-0.0166288076087168
LIRCMOP14_BC,1,1,20000,0.159236031372102,0.176329325801856,-0.0170932944297541
LIRCMOP14_BC,1,1,30000,0.100988147707716,0.100907911401766,8.02363059494299e-05
LIRCMOP14_BC,1,1,40000,0.0993120382459198,0.0989220409506915,0.000389997295228345
LIRCMOP14_BC,1,1,50000,0.10056287442532,0.0989690854565621,0.00159378896875802
LIRCMOP14_BC,1,1,60000,0.100551685314351,0.0988549964743792,0.0016966888399722
LIRCMOP14_BC,1,1,70000,0.0995971041882028,0.0994707358169893,0.000126368371213548
LIRCMOP14_BC,1,1,80000,0.100717360321307,0.0987354722991692,0.00198188802213733
LIRCMOP14_BC,1,1,90000,0.100599928185823,0.0990101510367224,0.00158977714910079
LIRCMOP14_BC,1,1,100000,0.101289814471911,0.0990668271741471,0.00222298729776414
LIRCMOP14_BC,2,2,10000,0.334121021717438,0.575688382267318,-0.24156736054988
LIRCMOP14_BC,2,2,20000,0.174758805889868,0.180934413262161,-0.00617560737229356
LIRCMOP14_BC,2,2,30000,0.0990583878632768,0.102188862690768,-0.00313047482749164
LIRCMOP14_BC,2,2,40000,0.100438690573393,0.0984850757214058,0.00195361485198678
LIRCMOP14_BC,2,2,50000,0.100678152395884,0.0984481986171283,0.00222995377875547
LIRCMOP14_BC,2,2,60000,0.0988905289762311,0.10011227724189,-0.00122174826565921
LIRCMOP14_BC,2,2,70000,0.0997487794880344,0.100316531685066,-0.000567752197031174
LIRCMOP14_BC,2,2,80000,0.100229808952912,0.09937434064657,0.0008554683063417
LIRCMOP14_BC,2,2,90000,0.100247952356238,0.0985058454993854,0.00174210685685303
LIRCMOP14_BC,2,2,100000,0.097915429632223,0.0974927666254162,0.000422663006806739
LIRCMOP14_BC,3,3,10000,0.224556612721535,0.265261266231213,-0.0407046535096781
LIRCMOP14_BC,3,3,20000,0.130206884480303,0.116854865299372,0.0133520191809308
LIRCMOP14_BC,3,3,30000,0.103371684780135,0.101312569038386,0.00205911574174912
LIRCMOP14_BC,3,3,40000,0.101312623387237,0.0983673706974227,0.00294525268981449
LIRCMOP14_BC,3,3,50000,0.100330493661122,0.100232630428216,9.78632329055595e-05
LIRCMOP14_BC,3,3,60000,0.0985784595507033,0.100931719005358,-0.00235325945465485
LIRCMOP14_BC,3,3,70000,0.0988760385402788,0.0996498996785876,-0.00077386113830874
LIRCMOP14_BC,3,3,80000,0.102459900191693,0.0998623690525891,0.00259753113910385
LIRCMOP14_BC,3,3,90000,0.0999261709771824,0.100257627768928,-0.000331456791745677
LIRCMOP14_BC,3,3,100000,0.0991498177386022,0.0985922973429781,0.000557520395624081
LIRCMOP14_BC,4,4,10000,0.34043891075907,0.235780895681039,0.104658015078031
LIRCMOP14_BC,4,4,20000,0.104752310809898,0.108631406183015,-0.00387909537311729
LIRCMOP14_BC,4,4,30000,0.101635180236208,0.0998459009130003,0.00178927932320778
LIRCMOP14_BC,4,4,40000,0.102173395798494,0.0987020929297223,0.00347130286877145
LIRCMOP14_BC,4,4,50000,0.099007884671654,0.100587893775535,-0.00158000910388126
