problem,run,seed,arm,FE,IGD
LIRCMOP7_BC,8,8,mainline,70000,0.0897801186388385
LIRCMOP7_BC,8,8,mainline,80000,0.0895941258951984
LIRCMOP7_BC,8,8,mainline,90000,0.0896547913451454
LIRCMOP7_BC,8,8,mainline,100000,0.0895758688755978
LIRCMOP7_BC,8,8,de20,10000,0.213122642010168
LIRCMOP7_BC,8,8,de20,20000,0.121237056441124
LIRCMOP7_BC,8,8,de20,30000,0.115981773154145
LIRCMOP7_BC,8,8,de20,40000,0.110084220614712
LIRCMOP7_BC,8,8,de20,50000,0.0846359346041217
LIRCMOP7_BC,8,8,de20,60000,0.0731335578110668
LIRCMOP7_BC,8,8,de20,70000,0.0271579673306146
LIRCMOP7_BC,8,8,de20,80000,0.00890852678226997
LIRCMOP7_BC,8,8,de20,90000,0.00846669216343445
LIRCMOP7_BC,8,8,de20,100000,0.00824634444100837
LIRCMOP7_BC,9,9,mainline,10000,0.176486740493915
LIRCMOP7_BC,9,9,mainline,20000,0.129773253592963
LIRCMOP7_BC,9,9,mainline,30000,0.112121077882732
LIRCMOP7_BC,9,9,mainline,40000,0.105187161747264
LIRCMOP7_BC,9,9,mainline,50000,0.102492364224404
LIRCMOP7_BC,9,9,mainline,60000,0.0723130009585003
LIRCMOP7_BC,9,9,mainline,70000,0.0172420294043622
LIRCMOP7_BC,9,9,mainline,80000,0.00950857285801094
LIRCMOP7_BC,9,9,mainline,90000,0.00880074766803043
LIRCMOP7_BC,9,9,mainline,100000,0.00841831913141168
LIRCMOP7_BC,9,9,de20,10000,0.21313770850762
LIRCMOP7_BC,9,9,de20,20000,0.110921152087313
LIRCMOP7_BC,9,9,de20,30000,0.0990486578719182
LIRCMOP7_BC,9,9,de20,40000,0.0909829370044769
LIRCMOP7_BC,9,9,de20,50000,0.0272835366229654
LIRCMOP7_BC,9,9,de20,60000,0.0117515040547858
LIRCMOP7_BC,9,9,de20,70000,0.00959074280678993
LIRCMOP7_BC,9,9,de20,80000,0.00867112643529912
LIRCMOP7_BC,9,9,de20,90000,0.00852632041321378
LIRCMOP7_BC,9,9,de20,100000,0.00823937123723185
LIRCMOP7_BC,10,10,mainline,10000,0.185510989114728
LIRCMOP7_BC,10,10,mainline,20000,0.100035677021248
LIRCMOP7_BC,10,10,mainline,30000,0.0862502627439448
LIRCMOP7_BC,10,10,mainline,40000,0.0686769361884923
LIRCMOP7_BC,10,10,mainline,50000,0.0621729585967364
LIRCMOP7_BC,10,10,mainline,60000,0.0674465371371243
LIRCMOP7_BC,10,10,mainline,70000,0.0204306285299966
LIRCMOP7_BC,10,10,mainline,80000,0.00998221218283966
LIRCMOP7_BC,10,10,mainline,90000,0.00880797764243215
LIRCMOP7_BC,10,10,mainline,100000,0.00858778764859111
LIRCMOP7_BC,10,10,de20,10000,0.370715572339971
LIRCMOP7_BC,10,10,de20,20000,0.0966009781701364
LIRCMOP7_BC,10,10,de20,30000,0.0822336071736453
LIRCMOP7_BC,10,10,de20,40000,0.0337515611272279
LIRCMOP7_BC,10,10,de20,50000,0.0219062540684
LIRCMOP7_BC,10,10,de20,60000,0.0113804939651377
LIRCMOP7_BC,10,10,de20,70000,0.00960442955539059
LIRCMOP7_BC,10,10,de20,80000,0.0093077063398893
