problem,epoch,run,poolFE,useFE,wallClockSeconds,trainingPairs,batchesPerEpoch,updates,pairVisits,candidateValidCount,candidateValidRate,guidedCount,guidedSelectionRate,fallbackCount,rawFeasibleRate,rawInfeasibleRate,rawBoundaryMarginMedian,rawCVMedian,rawDecisionUniqueRate,guidedFeasibleRate,guidedBoundaryMarginMedian,guidedCVMedian,guidedDominatingRate,guidedUsefulRate,guidedUsefulPerQuota,qualityScore
LIRCMOP12_BC,700,2,8000,8100,42.4321537916667,32,1,700,22400,98,0.196,20,1,0,1,0,15.1426790134636,0,1,0.95,4.10879591825583,0,0,0,0,0.678751767367563
LIRCMOP12_BC,700,3,5800,5900,46.642993,32,1,700,22400,292,0.584,20,1,0,1,0,11.539377924618,0,1,1,4.04188949842445,0,0,0,0,0.692477237932616
LIRCMOP12_BC,700,4,3800,3900,82.58362925,33,2,1400,23100,430,0.86,20,1,0,0.994,0.006,5.12228846374234,0,1,0.95,1.28115239915378,0,0,0,0,0.759064867017709
LIRCMOP12_BC,700,5,3000,3100,43.8560850833333,32,1,700,22400,334,0.668,20,1,0,1,0,7.18129846724524,0,1,1,6.75876785429847,0,0,0,0,0.625565475462076
LIRCMOP12_BC,1000,1,6000,6100,61.36884525,32,1,1000,32000,207,0.414,20,1,0,1,0,11.6303418434263,0,1,0.95,2.611108841118,0,0,0,0,0.7925
LIRCMOP12_BC,1000,2,8000,8100,70.5703170833333,32,1,1000,32000,130,0.26,20,1,0,1,0,11.5340903988289,0,1,0.8,1.57296368007844,0,0,0,0,0.77
LIRCMOP12_BC,1000,3,5800,5900,32.10345325,32,1,1000,32000,362,0.724,20,1,0,0.998,0.002,3.8218545287902,0,1,0.75,0.612047483940455,0,0,0,0,0.7629
LIRCMOP12_BC,1000,4,3800,3900,97.4131590833333,33,2,2000,33000,437,0.874,20,1,0,0.936,0.064,2.55338853613171,0,1,0.7,0.27559768716931,0,0,0,0,0.7678
LIRCMOP12_BC,1000,5,3000,3100,65.612306375,32,1,1000,32000,373,0.746,20,1,0,1,0,5.8525207404402,0,1,0.95,6.49073744371125,0,0,0,0,0.665762886107862
LIRCMOP14_BC,200,1,3200,3300,31.9674627083333,43,2,400,8600,499,0.998,20,1,0,0.738,0.262,60.3094195405566,0,1,1,65.3920102177258,0,0,0,0,0.540008489709128
LIRCMOP14_BC,200,2,3600,3700,43.57715575,65,3,600,13000,494,0.988,20,1,0,0.854,0.146,201.652376073183,0,1,0.9,27.6839968584365,0,0,0,0,0.4642
LIRCMOP14_BC,200,3,3000,3100,43.5659518333333,68,3,600,13600,497,0.994,20,1,0,0.938,0.062,256.523498536481,0,1,0.9,57.2012196741121,0,0,0,0,0.4474
LIRCMOP14_BC,200,4,3200,3300,28.825679375,51,2,400,10200,498,0.996,20,1,0,0.782,0.218,64.0690417022168,0,1,1,25.9263250369425,0,0.05,0.05,0.05,0.4936
LIRCMOP14_BC,200,5,3200,3300,22.4616614583333,45,2,400,9000,496,0.992,20,1,0,0.836,0.164,172.97378869999,0,1,0.95,30.7571545358045,0,0,0,0,0.581583131936635
LIRCMOP14_BC,400,1,3200,3300,18.8273246666667,43,2,800,17200,499,0.998,20,1,0,0.69,0.31,34.5457788342328,0,1,0.85,51.6257911991575,0,0,0,0,0.681399232309387
LIRCMOP14_BC,400,2,3600,3700,34.77480275,65,3,1200,26000,498,0.996,20,1,0,0.75,0.25,52.1826434042381,0,1,0.85,19.8880040485245,0,0.05,0,0,0.801357619887752
LIRCMOP14_BC,400,3,3000,3100,43.8481682916667,68,3,1200,27200,498,0.996,20,1,0,0.85,0.15,94.9665068277352,0,1,0.8,13.361983983858,0,0,0,0,0.722737928455192
LIRCMOP14_BC,400,4,3200,3300,50.774178,51,2,800,20400,500,1,20,1,0,0.746,0.254,26.9090801804064,0,1,0.85,15.320471952627,0,0,0,0,0.756088611138049
LIRCMOP14_BC,400,5,3200,3300,48.9834619583333,45,2,800,18000,498,0.996,20,1,0,0.806,0.194,109.381559420867,0,1,0.9,77.1654396016417,0,0,0,0,0.55539780511063
LIRCMOP14_BC,700,1,3200,3300,82.051259,43,2,1400,30100,496,0.992,20,1,0,0.79,0.21,68.4208190976492,0,1,0.7,28.8890214260164,0,0,0,0,0.53937678137795
LIRCMOP14_BC,700,2,3600,3700,122.68414475,65,3,2100,45500,497,0.994,20,1,0,0.734,0.266,55.30171634443,0,1,0.85,18.2425194382617,0,0.05,0,0,0.826526482212154
LIRCMOP14_BC,700,3,3000,3100,128.079178125,68,3,2100,47600,493,0.986,20,1,0,0.868,0.132,124.518081356578,0,1,0.85,28.105301040977,0,0,0,0,0.656564670449278
LIRCMOP14_BC,700,4,3200,3300,82.3051782916667,51,2,1400,35700,499,0.998,20,1,0,0.858,0.142,44.394237140032,0,1,0.7,5.47502838345113,0,0,0,0,0.689292491576651
LIRCMOP14_BC,700,5,3200,3300,81.966196125,45,2,1400,31500,500,1,20,1,0,0.718,0.282,27.8526329693093,0,1,0.85,29.5955825395322,0,0,0,0,0.779054260175156
LIRCMOP14_BC,1000,1,3200,3300,120.867288875,43,2,2000,43000,500,1,20,1,0,0.712,0.288,25.2848164566081,0,1,0.6,6.11901718764627,0,0.1,0.05,0.05,0.7976
LIRCMOP14_BC,1000,2,3600,3700,175.293452833333,65,3,3000,65000,498,0.996,20,1,0,0.77,0.23,54.2940863575893,0,1,0.85,19.0136994590712,0,0,0,0,0.808422752856209
LIRCMOP14_BC,1000,3,3000,3100,182.227109583333,68,3,3000,68000,499,0.998,20,1,0,0.718,0.282,27.5985592839045,0,1,0.65,7.23015277479479,0,0.05,0,0,0.8039
LIRCMOP14_BC,1000,4,3200,3300,125.602253291667,51,2,2000,51000,498,0.996,20,1,0,0.882,0.118,31.5632761013025,0,1,0.7,12.7589880598905,0,0,0,0,0.700126290735423
LIRCMOP14_BC,1000,5,3200,3300,117.672540291667,45,2,2000,45000,500,1,20,1,0,0.732,0.268,17.1062890953015,0,1,0.9,11.6682846624572,0,0,0,0,0.8386
