problem,FE,pairs,updates,epochs,movementRMSE,commonRefs,adjacentTargetJump,top10WeightShare,effectiveWeightedPairs,preRMSE,postRMSE,relativeError,noiseRMSE
LIRCMOP5_BC,24000,67,20,4,0.0883152369608269,50,0.0827522837360169,0.575330774990051,15.458834689178,0.0827707034133434,0.0819251569451618,2.59418999203333,0.0152049270495003
LIRCMOP5_BC,24200,58,20,5,0.0822601305782734,48,0.0858272972246154,0.616025077537054,9.75964731831331,0.0843847506722992,0.0840186874579671,2.54327887733396,0.0152206819962364
LIRCMOP5_BC,24400,63,20,5,0.09562120176459,42,0.089204166102799,0.621686320490478,13.5192570064945,0.0818124486704064,0.0815626589414821,2.5383765180161,0.0151703541958538
LIRCMOP5_BC,24600,60,20,5,0.0897696651665015,44,0.0858272972246154,0.618202758521995,11.9380135500376,0.0804376062742025,0.0795772069661611,2.43598925461732,0.0148244987299414
LIRCMOP5_BC,24800,64,20,5,0.0932057288322459,41,0.0847319567814937,0.592918212199398,14.0515480932007,0.0823359285517746,0.0820096330735343,2.6145840998225,0.0148891802394786
LIRCMOP5_BC,25000,68,20,4,0.0940315371454579,49,0.0847319567814937,0.6153994848683,14.6813564883042,0.0814317599964597,0.0811565307111629,2.68888689934116,0.0145628534812209
LIRCMOP5_BC,25200,63,20,5,0.0919236566607641,52,0.0884481177984555,0.575506232234326,16.4134382012131,0.0831297717652272,0.0828566778608545,2.70496092249581,0.0148002019529088
LIRCMOP5_BC,25400,61,20,5,0.0941939237821422,43,0.0857337482119911,0.593619143131277,14.5818722305047,0.0788904549754142,0.0779940949599015,2.39939698930319,0.0145925638004725
LIRCMOP5_BC,25600,69,20,4,0.0922419291200934,48,0.0859086000719089,0.578091552356279,15.0629807344511,0.079542712640213,0.0789375587519572,2.47003158871857,0.0145478030051611
LIRCMOP5_BC,25800,67,20,4,0.0888809202318875,57,0.0749732706352787,0.607219362981382,13.7149735048837,0.0786068806318743,0.0782890986905872,2.74054632049553,0.0143019363462926
LIRCMOP5_BC,26000,62,20,5,0.0918287951300266,52,0.0889207886733997,0.546313312405089,16.83185148766,0.0830711352887231,0.0826198752746362,2.39972132212541,0.0141919904704946
LIRCMOP5_BC,26200,66,20,4,0.0890919344929346,43,0.0835509527192077,0.619886521663225,13.0501551579593,0.0774292241658897,0.0767169745410855,2.72660155294952,0.0140994724048279
LIRCMOP5_BC,26400,64,20,5,0.088361427680544,49,0.0870491499408256,0.623973346408319,12.4775027991948,0.082038198974051,0.0817977320679507,2.81002198468901,0.0141160748530351
LIRCMOP5_BC,26600,61,20,5,0.0997474549648894,43,0.0907176065421261,0.558214492398472,18.0725521083722,0.0752109456748013,0.0748414140201781,2.49022496280488,0.0139542524091988
LIRCMOP5_BC,26800,65,20,4,0.102250947672576,39,0.08352105623325,0.621927732251787,11.6525454836144,0.0821141704539691,0.0814855643347783,2.70077130328286,0.0139806418965123
LIRCMOP5_BC,27000,63,20,5,0.106195082952586,38,0.0861794505139941,0.546185044583271,14.44740862221,0.0815693562120739,0.0803032914381552,2.52060428513059,0.0138931582744439
LIRCMOP5_BC,27200,66,20,4,0.0997244039782707,53,0.0859629913089219,0.523712619638102,15.1395753026037,0.0855101243870575,0.0850302591805138,2.52741316362872,0.0136251086878386
LIRCMOP5_BC,27400,70,20,4,0.0934664125522562,47,0.0805988333859964,0.523277100476435,16.7989360202217,0.0766506273899847,0.0762922922423801,2.46063518757047,0.0136716927121859
LIRCMOP5_BC,27600,70,20,4,0.0904743898814257,55,0.0803454243678288,0.586166173341568,14.930980713609,0.0787633284250235,0.0785926519655223,2.59479592147041,0.0136285949512709
LIRCMOP5_BC,27800,66,20,4,0.0756250337336082,59,0.0848054600843697,0.481451440019811,20.2164183996083,0.0812234735270355,0.0809941761378396,2.50973677041314,0.0134296100450571
LIRCMOP5_BC,28000,67,20,4,0.0849339826168028,52,0.0727118526043168,0.536880084729788,18.1583372499624,0.083129355059998,0.082886508556843,2.75208753125432,0.0133556971962924
LIRCMOP5_BC,28200,60,20,5,0.101926837636273,39,0.0834911597472923,0.615910351676971,11.9201898624186,0.0874975697694329,0.084453849408591,3.33445505268618,0.0134551655729634
LIRCMOP5_BC,28400,63,20,5,0.110168375920522,43,0.087317999334288,0.581586307828846,11.1751814034272,0.0852669921225263,0.08490969857903,2.67392938500511,0.0134198361897484
LIRCMOP5_BC,28600,63,20,5,0.100957067666249,50,0.0840884160586041,0.585193680553358,9.14681788582006,0.0819782356621129,0.0817351550104992,2.47343222175799,0.0133608258194991
LIRCMOP5_BC,28800,65,20,4,0.103913695173031,51,0.0884906493718921,0.539301392980548,10.0662685638273,0.0848964471143527,0.0845699248231325,2.51170989500323,0.0131702424250602
LIRCMOP5_BC,29000,62,20,5,0.0983276215123546,50,0.0819908483741033,0.585425331919495,11.7700400817093,0.0747573007114111,0.0747156550605573,2.68070245945176,0.0132438814124438
LIRCMOP5_BC,29200,63,20,5,0.100134094563251,44,0.0784556298509855,0.606035650077956,9.12809898688038,0.0860044242019059,0.0852947279690985,2.46776187353434,0.0130257856024065
LIRCMOP5_BC,29400,63,20,5,0.102790323869463,53,0.0849435347331793,0.609895067293672,10.8470360128714,0.0848467692886946,0.0848039495954786,2.64438102913476,0.0129196946404694
LIRCMOP5_BC,29600,64,20,5,0.100978146856779,48,0.0803454243678288,0.681693072753278,11.0186697962311,0.0829992322036287,0.0822880255135577,2.86003695850191,0.0128472490496926
LIRCMOP5_BC,29800,66,20,4,0.102318809092377,48,0.0844733092723179,0.708197714329507,11.272929168785,0.0871148725066557,0.0862622824181553,2.73528886727417,0.0128596345589124
LIRCMOP5_BC,30000,61,20,5,0.0989183450939495,48,0.0817601956340814,0.645316591176591,12.1530474312193,0.0808424837518163,0.08086907018494,2.88031429685475,0.0127084853751689
LIRCMOP5_BC,30200,64,20,5,0.090820166809785,51,0.0807223386135249,0.637634806052495,11.61683186813,0.0810537305817498,0.0812265843095379,2.85006896923248,0.0127485176505175
LIRCMOP5_BC,30400,63,20,5,0.0982133432716768,49,0.086352233481266,0.611052048868343,11.059326708885,0.0825620350019256,0.0824031649766211,2.66918797307473,0.0125106140608126
LIRCMOP5_BC,30600,59,20,5,0.105705182770961,48,0.0840116022555057,0.568699149302435,10.2199725893486,0.0749122874530074,0.0746147590987223,2.48791906983444,0.0124520114920654
LIRCMOP5_BC,30800,57,20,5,0.0881360829798592,45,0.0882617904033584,0.619049574702585,10.8416133448697,0.0772398279384113,0.0772700599992781,2.76878848203953,0.01244110609337
LIRCMOP5_BC,31000,60,20,5,0.11037381228332,44,0.0869562395664093,0.629813509844731,9.03568408314908,0.0801523270178245,0.0796286359157285,2.51720723784988,0.0120470955434004
LIRCMOP5_BC,31200,59,20,5,0.096052732909038,48,0.0750270821744705,0.588730943484012,9.66104714949769,0.0714765076006861,0.0709941547462685,2.38434160331726,0.0121259095378299
LIRCMOP5_BC,31400,62,20,5,0.0904014399086014,46,0.0869562395664093,0.690606958274237,9.56606795266662,0.0764462357334739,0.0759392075821952,2.69623301047061,0.0121304239714084
LIRCMOP5_BC,31600,61,20,5,0.0981839952758048,45,0.0869492235627492,0.643021744517188,11.3373091343874,0.0791622212565595,0.0779503412291097,2.86807499922962,0.0119271741815733
