problem,run,target_FE,actual_FE,gen,bmem_count,boundary_count,bmem_ref_coverage,finite_gap_count,inf_gap_count,median_gap,max_gap,train_count,query_count,condition_dim,train_param_ratio,gan_sample_reuse,train_pair_dec_dist50,train_pair_dec_dist90,train_tau_iqr,missing_ref_query_count,large_gap_query_count,raw_generated_count,feasible_generated_count,generated_per_train,boundary_dist50,boundary_dist90,query_width90,segment_width90,segment_width90_ratio,side_rate,pair_margin50,ref_cover,query_obj_dist50,query_obj_dist90,feasible_rate,boundary_sample_current_count,boundary_sample_prev_pair_count,boundary_sample_merged_count,boundary_sample_finite_count,boundary_feasible_count,boundary_infeasible_count,boundary_main_feasible_count,boundary_ref_with_main_feasible_count,boundary_ref_with_neighbor_infeasible_count,boundary_ref_pairable_count,boundary_pair_distance_count,boundary_pair_dominated_skip_count,boundary_pair_appended_count,boundary_candidate_raw_count,boundary_candidate_finite_count,boundary_candidate_pareto_count,boundary_candidate_gap_count,boundary_candidate_dedup_count,boundary_candidate_final_count,dataset_bmem_input_count,dataset_valid_train_count,dataset_invalid_train_count,dataset_query_count
DASCMOP4_BC,1,70000,70138,321,115,1,0.23,115,0,0.000125937137217436,0.000537043730577255,115,20,3,0.00601999685913207,27.8260869565217,0.0022708110162961,0.101018818144416,0,20,0,20,0,0.173913043478261,0.529507883238084,0.856477441361091,0,0.859140970143485,NaN,0.65,0.000215119215489737,0,0.530479295069864,0.861091956065518,0,400,100,600,600,210,390,200,26,100,26,10421,0,130,130,130,130,115,115,115,115,115,0,20
DASCMOP4_BC,1,100000,100058,457,85,1,0.17,85,0,5.18120243068101e-05,0.000255453817886013,85,20,3,0.00444956289588023,37.6470588235294,0.00218876952294777,0.101018818144416,0,20,0,20,0,0.235294117647059,0.471218381397278,1.24767750309956,0,1.25435931490441,NaN,0.3,-0.000167967634949539,0,0.473594777284433,1.25535662689019,0,400,84,568,568,193,375,185,23,100,23,9924,0,115,115,115,115,85,85,85,85,85,0,20
DASCMOP4_BC,2,10000,10000,49,0,0,NaN,0,0,NaN,NaN,0,0,3,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,400,0,400,400,0,400,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DASCMOP4_BC,2,30000,30000,149,0,0,NaN,0,0,NaN,NaN,0,0,3,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,400,0,400,400,0,400,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DASCMOP4_BC,2,50000,50043,249,5,1,0.01,5,0,0.00482826280438601,0.00482826280438601,5,4,3,0.000261738993875308,100,0.0100426296856022,0.0100426296856022,0,0,4,4,0,0.8,1.86262471214003,1.91013504191961,0,1.91013504191961,NaN,0,-0.000186476114892142,0,1.86262471214003,1.91013504191961,0,400,10,420,420,29,391,7,2,100,2,208,40,5,5,5,5,5,5,5,5,5,0,4
DASCMOP4_BC,2,70000,70031,340,154,1,0.31,154,0,0.00254720994278078,0.00525827317290467,154,20,3,0.00806156101135947,20.7792207792208,0.0200018401771354,0.103533611485498,0,20,0,20,0,0.12987012987013,1.23968960251473,1.72399484609438,0,1.725743769718,NaN,0.2,-0.00217644670771196,0,1.24447972898617,1.72609077599253,0,400,165,730,730,350,380,271,31,100,31,9996,50,155,155,155,155,154,154,154,154,154,0,20
DASCMOP4_BC,2,100000,100171,477,115,1,0.23,115,0,0.000374590877413696,0.00161551402554042,115,20,3,0.00601999685913207,27.8260869565217,0.00623304050288528,0.17646302304768,0,20,0,20,0,0.173913043478261,1.02357540387415,1.56248136467183,0,1.56256138657037,NaN,0.4,-0.00464145304598836,0,1.02676938234747,1.57014508540381,0,400,115,630,630,257,373,249,27,100,27,10689,0,135,135,135,135,115,115,115,115,115,0,20
DASCMOP4_BC,3,10000,10046,48,130,1,0.26,130,0,0.00649850209641236,0.0130107681107052,130,20,3,0.006805213840758,24.6153846153846,0.0312019159521177,0.10531014068485,0,20,0,20,0,0.153846153846154,1.69681017262756,1.81600497124996,0,1.81712611868311,NaN,0.7,0.00867908749815216,0,1.69862213921409,1.81747894049485,0,400,114,628,628,318,310,237,26,100,26,8194,11,130,130,130,130,130,130,130,130,130,0,20
DASCMOP4_BC,3,30000,30066,139,140,1,0.28,140,0,0.00300697719252538,0.00687647317683867,140,20,3,0.00732869182850861,22.8571428571429,0.0210353045440676,0.107545408824786,0,20,0,20,0,0.142857142857143,1.20968135815289,1.52423294747651,0,1.52646346876121,NaN,0.9,0.0262657838473869,0,1.21287776641341,1.52679783357312,0,400,140,680,680,324,356,285,29,100,29,10920,174,140,140,140,140,140,140,140,140,140,0,20
DASCMOP4_BC,3,50000,50086,230,141,1,0.29,141,0,0.000326255925295747,0.00141021550197113,141,20,3,0.00738103962728367,22.6950354609929,0.00288698851491578,0.0130568304946879,0,20,0,20,0,0.141843971631206,1.83038497473537,2.0413354290816,0,2.0413354290816,NaN,0.05,-0.000619986544757589,0,1.83374854991891,2.04328548775456,0,400,145,690,690,255,435,240,30,100,30,13292,5,150,150,150,150,141,141,141,141,141,0,20
DASCMOP4_BC,3,70000,70106,321,105,1,0.21,105,0,0.000120795741318862,0.000367229174244684,105,20,3,0.00549651887138146,30.4761904761905,0.00219908325379914,0.00351129871013387,0,20,0,20,0,0.19047619047619,1.65554236530711,1.95093539623597,0,1.95093539623597,NaN,0.2,-0.000181856444614423,0,1.65785688067029,1.9519630938855,0,400,95,590,590,204,386,197,25,100,25,9601,4,125,125,125,125,105,105,105,105,105,0,20
DASCMOP4_BC,3,100000,100026,457,85,1,0.17,85,0,9.74499252048067e-05,0.00029841720238997,85,20,3,0.00444956289588023,37.6470588235294,0.00211526486686329,0.00362191764147799,0,20,0,20,0,0.235294117647059,0.437385002141718,0.781373600057621,0,0.781373600057621,NaN,0.3,-7.11653240605126e-05,0,0.440188053403155,0.782124564757351,0,400,90,580,580,205,375,192,22,100,22,10494,1,110,110,110,110,85,85,85,85,85,0,20
DASCMOP5_BC,1,10000,10000,49,0,0,NaN,0,0,NaN,NaN,0,0,3,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,400,0,400,400,0,400,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0
