FE,IGD,HV,guidedCount,problem,stage,mode
53200,0.122720850538387,0.241692137114493,0,LIRCMOP5_BC,middle,adversarial20
53400,0.121818793313989,0.242042429832875,0,LIRCMOP5_BC,middle,adversarial20
53600,0.121818793313989,0.242061463766301,0,LIRCMOP5_BC,middle,adversarial20
53800,0.121383475634066,0.242353189437264,0,LIRCMOP5_BC,middle,adversarial20
54000,0.121309872274656,0.242527545215382,0,LIRCMOP5_BC,middle,adversarial20
54200,0.120708458325025,0.242964133595681,0,LIRCMOP5_BC,middle,adversarial20
54400,0.119855399313716,0.243534829694856,0,LIRCMOP5_BC,middle,adversarial20
54600,0.118884643719849,0.244020973170063,0,LIRCMOP5_BC,middle,adversarial20
54800,0.104866406759561,0.250196688095628,0,LIRCMOP5_BC,middle,adversarial20
55000,0.103147271852833,0.251135638867167,0,LIRCMOP5_BC,middle,adversarial20
50000,0.203784195110152,0.198040455295637,0,LIRCMOP5_BC,middle,distance20
50200,0.203781606568593,0.198124567227435,20,LIRCMOP5_BC,middle,distance20
50400,0.203272371920148,0.198879073071538,0,LIRCMOP5_BC,middle,distance20
50600,0.203153998406483,0.198958204146727,0,LIRCMOP5_BC,middle,distance20
50800,0.203153998406483,0.198958204146727,0,LIRCMOP5_BC,middle,distance20
51000,0.203163791127701,0.199169296658279,0,LIRCMOP5_BC,middle,distance20
51200,0.203002297529663,0.199391906582736,0,LIRCMOP5_BC,middle,distance20
51400,0.1780548893413,0.214998576213354,0,LIRCMOP5_BC,middle,distance20
51600,0.1780548893413,0.214998605250052,0,LIRCMOP5_BC,middle,distance20
51800,0.178013883114128,0.215076582118809,0,LIRCMOP5_BC,middle,distance20
52000,0.178013883114128,0.215076582118809,0,LIRCMOP5_BC,middle,distance20
52200,0.177304511266182,0.215611032653099,0,LIRCMOP5_BC,middle,distance20
52400,0.170186511557012,0.218508802944632,0,LIRCMOP5_BC,middle,distance20
52600,0.168651140605844,0.218679568686504,0,LIRCMOP5_BC,middle,distance20
52800,0.168215865017499,0.219108773250885,0,LIRCMOP5_BC,middle,distance20
53000,0.167963097887652,0.219341357344031,0,LIRCMOP5_BC,middle,distance20
53200,0.167066128006911,0.219611074633489,0,LIRCMOP5_BC,middle,distance20
53400,0.167054878807201,0.219648293459195,0,LIRCMOP5_BC,middle,distance20
53600,0.154715101141222,0.226151926683838,0,LIRCMOP5_BC,middle,distance20
53800,0.154715086055152,0.226165822022436,0,LIRCMOP5_BC,middle,distance20
54000,0.154694839308723,0.226195085505379,0,LIRCMOP5_BC,middle,distance20
54200,0.154498216006455,0.226480656408224,0,LIRCMOP5_BC,middle,distance20
54400,0.154115389373404,0.226649459684668,0,LIRCMOP5_BC,middle,distance20
54600,0.15404141542982,0.226746751507594,0,LIRCMOP5_BC,middle,distance20
54800,0.136043384751258,0.234121776519457,0,LIRCMOP5_BC,middle,distance20
55000,0.135414346206193,0.234429414391642,0,LIRCMOP5_BC,middle,distance20
50000,0.203784195110152,0.198040455295637,0,LIRCMOP5_BC,middle,adversarial2000
50200,0.203780971208196,0.198135988127923,20,LIRCMOP5_BC,middle,adversarial2000
50400,0.184189356935909,0.211075400383637,0,LIRCMOP5_BC,middle,adversarial2000
50600,0.174386379852079,0.215219020207704,0,LIRCMOP5_BC,middle,adversarial2000
50800,0.174324834273329,0.215357564956931,0,LIRCMOP5_BC,middle,adversarial2000
51000,0.174274924506755,0.21540335613683,0,LIRCMOP5_BC,middle,adversarial2000
51200,0.173812243678156,0.216200613400775,0,LIRCMOP5_BC,middle,adversarial2000
51400,0.172916699333964,0.216581584821479,0,LIRCMOP5_BC,middle,adversarial2000
51600,0.17291627167924,0.216586808888758,0,LIRCMOP5_BC,middle,adversarial2000
51800,0.172191194036392,0.217137032929564,0,LIRCMOP5_BC,middle,adversarial2000
52000,0.165587196112954,0.221132460372489,0,LIRCMOP5_BC,middle,adversarial2000
52200,0.165575329138618,0.221266427969087,0,LIRCMOP5_BC,middle,adversarial2000
52400,0.165557379153378,0.221273695387684,0,LIRCMOP5_BC,middle,adversarial2000
52600,0.15386473963001,0.227198407545542,0,LIRCMOP5_BC,middle,adversarial2000
52800,0.153845153950742,0.227215043219101,0,LIRCMOP5_BC,middle,adversarial2000
53000,0.139069097469294,0.233191782240835,0,LIRCMOP5_BC,middle,adversarial2000
53200,0.139018581511689,0.233294597238392,0,LIRCMOP5_BC,middle,adversarial2000
53400,0.132089889087589,0.237197108603619,0,LIRCMOP5_BC,middle,adversarial2000
53600,0.130053216150755,0.238025904065675,0,LIRCMOP5_BC,middle,adversarial2000
53800,0.13000799756595,0.238087111997689,0,LIRCMOP5_BC,middle,adversarial2000
54000,0.129673358869508,0.238274379036883,0,LIRCMOP5_BC,middle,adversarial2000
54200,0.128670918543829,0.238757203225403,0,LIRCMOP5_BC,middle,adversarial2000
54400,0.128332675809703,0.238978695039279,0,LIRCMOP5_BC,middle,adversarial2000
54600,0.12469671299025,0.24085803229255,0,LIRCMOP5_BC,middle,adversarial2000
54800,0.124504765191632,0.241019077827881,0,LIRCMOP5_BC,middle,adversarial2000
55000,0.124235274959435,0.241251658521671,0,LIRCMOP5_BC,middle,adversarial2000
50000,0.203784195110152,0.198040455295637,0,LIRCMOP5_BC,middle,distance2000
50200,0.202854358404064,0.198184197218123,20,LIRCMOP5_BC,middle,distance2000
50400,0.195499561304349,0.20294064134645,0,LIRCMOP5_BC,middle,distance2000
50600,0.19549892773546,0.20295785488977,0,LIRCMOP5_BC,middle,distance2000
50800,0.195491846505331,0.203004340883748,0,LIRCMOP5_BC,middle,distance2000
51000,0.195577220026566,0.203051302210274,0,LIRCMOP5_BC,middle,distance2000
51200,0.194654978042809,0.203932945619471,0,LIRCMOP5_BC,middle,distance2000
51400,0.175443861761831,0.213924201279729,0,LIRCMOP5_BC,middle,distance2000
51600,0.166525321026793,0.219295040555518,0,LIRCMOP5_BC,middle,distance2000
51800,0.166069896296743,0.219602411657467,0,LIRCMOP5_BC,middle,distance2000
52000,0.166594180093471,0.219766847276148,0,LIRCMOP5_BC,middle,distance2000
52200,0.16531225822007,0.220597658361122,0,LIRCMOP5_BC,middle,distance2000
52400,0.165014814535503,0.220837531756317,0,LIRCMOP5_BC,middle,distance2000
52600,0.164736583686233,0.221073859795674,0,LIRCMOP5_BC,middle,distance2000
52800,0.164736583686233,0.221073859795674,0,LIRCMOP5_BC,middle,distance2000
53000,0.164599180796679,0.221223451729364,0,LIRCMOP5_BC,middle,distance2000
53200,0.157033979479989,0.224992037990713,0,LIRCMOP5_BC,middle,distance2000
53400,0.156929017303786,0.225121946218407,0,LIRCMOP5_BC,middle,distance2000
53600,0.156903236199045,0.225181446786031,0,LIRCMOP5_BC,middle,distance2000
53800,0.155918768797928,0.226156779913352,0,LIRCMOP5_BC,middle,distance2000
54000,0.146745790409955,0.23040852666141,0,LIRCMOP5_BC,middle,distance2000
54200,0.145606513974603,0.230863034787827,0,LIRCMOP5_BC,middle,distance2000
54400,0.144535940546381,0.231278644757237,0,LIRCMOP5_BC,middle,distance2000
54600,0.129841098258342,0.238648795823013,0,LIRCMOP5_BC,middle,distance2000
54800,0.129664801953962,0.238934948287378,0,LIRCMOP5_BC,middle,distance2000
55000,0.129522423243795,0.239084129879841,0,LIRCMOP5_BC,middle,distance2000
50000,0.203784195110152,0.198040455295637,0,LIRCMOP5_BC,middle,de
50200,0.203781606568593,0.198124567227435,0,LIRCMOP5_BC,middle,de
50400,0.203267917251988,0.198830805264911,0,LIRCMOP5_BC,middle,de
50600,0.203267917251988,0.198830805264911,0,LIRCMOP5_BC,middle,de
50800,0.203266579971098,0.198883910506967,0,LIRCMOP5_BC,middle,de
51000,0.203266579971098,0.198884027638139,0,LIRCMOP5_BC,middle,de
51200,0.200322830728874,0.200816829489838,0,LIRCMOP5_BC,middle,de
51400,0.185503191127219,0.210855524819292,0,LIRCMOP5_BC,middle,de
51600,0.185502761500364,0.210868759362613,0,LIRCMOP5_BC,middle,de
51800,0.185316753691263,0.211071829742891,0,LIRCMOP5_BC,middle,de
