problem,stage,loss,stream,addedUpdates,reverseFeasibleCoverage,reverseInfeasibleCoverage,f1Offset,f2Offset,f1BaseOffset,f2BaseOffset,f1EnergyOffset,f2EnergyOffset,medianTrueFeasibleNeighborRMS,medianGeneratedFeasibleNeighborRMS
LIRCMOP6_BC,middle,distance,2,0,0.20788778408866,0.135653164384029,0.285230087406943,0.316012724255774,-0.0401423702181976,0.0515180464398814,0.32537245762514,0.264494677815892,0.0188601248308828,0.00494445666562341
LIRCMOP6_BC,middle,distance,2,20,0.0283990357956045,0.0504656190265098,-0.00325455213683916,0.0245062130325663,-0.0119996724815767,0.0173968545569623,0.00874512034473753,0.00710935847560396,0.0188601248308828,0.00455634541640094
LIRCMOP6_BC,middle,distance,2,200,0.0186269066150623,0.0162910151574986,-0.0161442470877378,0.00466889176172727,-0.00501793829516579,0.00775575074813396,-0.011126308792572,-0.00308685898640669,0.0188601248308828,0.00646162570332504
LIRCMOP6_BC,middle,distance,2,2000,0.0183381489932418,0.00767569212129465,-0.0160780970860408,-0.0037253101811433,0.000974167308052287,-0.000864958669850113,-0.0170522643940931,-0.00286035151129319,0.0188601248308828,0.00748534619841958
LIRCMOP6_BC,middle,distance,3,0,0.20788778408866,0.135653164384029,0.285230087406943,0.316012724255774,-0.0401423702181976,0.0515180464398814,0.32537245762514,0.264494677815892,0.0188601248308828,0.00494445666562341
LIRCMOP6_BC,middle,distance,3,20,0.0497129576917902,0.0355162027157594,0.0236623844129325,0.0254458624786225,-0.00371938852385689,0.006424206673503,0.0273817729367894,0.0190216558051195,0.0188601248308828,0.00496647362988178
LIRCMOP6_BC,middle,distance,3,200,0.0211432568558377,0.0141764518485612,-0.0152044995439284,-0.00145917865289634,-9.62173731725358e-05,0.00117934895699913,-0.0151082821707558,-0.00263852760989547,0.0188601248308828,0.00659777790000723
LIRCMOP6_BC,middle,distance,3,2000,0.0186480720407383,0.00933713804524378,-0.0189765792353528,-0.00241502130092948,-0.00275492278651406,0.00409824742146093,-0.0162216564488387,-0.00651326872239041,0.0188601248308828,0.00771581035852851
LIRCMOP7_BC,early,adversarial,1,0,0.320326413259257,0.171324959813343,-0.326902233616456,0.081695568367245,0.00117112637297985,-0.000170561865583502,-0.328073359989436,0.0818661302328285,0.0602329952672059,0.00174453664665148
LIRCMOP7_BC,early,adversarial,1,20,0.217393740622743,0.148776541684667,-0.133329508661575,-0.103509918362554,0.00254647944142804,-0.00138908145871822,-0.135875988103003,-0.102120836903836,0.0602329952672059,0.00183623663116574
LIRCMOP7_BC,early,adversarial,1,200,0.172505183886386,0.122161551875019,-0.172883216224313,-0.0870822016627616,0.000917369225003332,-0.000561756628032937,-0.173800585449317,-0.0865204450347287,0.0602329952672059,0.00211267323421971
LIRCMOP7_BC,early,adversarial,1,2000,0.194754527622625,0.140190790611439,-0.242890630700296,-0.0222243066545304,0.00196053656696428,-0.000998855821603823,-0.24485116726726,-0.0212254508329266,0.0602329952672059,0.00325094427149256
LIRCMOP7_BC,early,adversarial,2,0,0.320326413259257,0.171324959813343,-0.326902233616456,0.081695568367245,0.00117112637297985,-0.000170561865583502,-0.328073359989436,0.0818661302328285,0.0602329952672059,0.00174453664665148
LIRCMOP7_BC,early,adversarial,2,20,0.20381581222074,0.143460999825009,0.109421415524866,-0.130655063391652,0.0158494463100376,-0.00945866914188675,0.0935719692148287,-0.121196394249765,0.0602329952672059,0.00196628421898061
LIRCMOP7_BC,early,adversarial,2,200,0.139095356652488,0.118860672526734,0.0260734211543065,-0.0360797428814039,-0.012821526551898,0.0081150094774723,0.0388949477062045,-0.0441947523588762,0.0602329952672059,0.00215229246756154
